                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0047,                 4.0763,                 2.0766,                0.16744,                0.27899,                0.15663,                0.07486,                 1.7426,                 3.4514,                 2.1904,             0.00046953,             0.00046953,             0.00046953
                      2,                  1.926,                 2.3683,                 2.1362,                0.04862,                0.36861,                 0.0382,                0.01898,                 1.8592,                 9.6886,                 2.4514,             0.00085222,             0.00085222,             0.00085222
                      3,                 1.9058,                  2.042,                 2.0958,                0.61361,                0.24047,                0.22409,                0.11148,                 1.7362,                 2.3449,                 2.1122,              0.0011406,              0.0011406,              0.0011406
                      4,                 1.9001,                 2.0377,                 2.1002,                 0.2798,                0.33009,                0.25272,                0.12022,                 1.6212,                  2.185,                 1.9782,              0.0010046,              0.0010046,              0.0010046
                      5,                 1.8933,                 1.9396,                 2.0632,                 0.6664,                0.33739,                0.28685,                0.15739,                 1.5056,                 1.9977,                 2.0319,              0.0010046,              0.0010046,              0.0010046
                      6,                 1.8317,                 1.7766,                 2.0392,                0.57907,                0.29643,                0.26063,                0.14704,                 1.5752,                 1.9517,                 1.9335,             0.00086312,             0.00086312,             0.00086312
                      7,                  1.805,                 1.7671,                 1.9332,                0.31903,                0.29643,                0.30159,                0.16386,                 1.5354,                 1.7529,                 1.8786,             0.00072164,             0.00072164,             0.00072164
                      8,                 1.7111,                 1.6264,                 1.8955,                0.58729,                0.20241,                0.24719,                0.12899,                 1.5869,                  1.916,                 1.9933,             0.00058017,             0.00058017,             0.00058017
                      9,                 1.6748,                 1.5703,                 1.8267,                 0.2923,                0.33064,                0.32445,                0.19359,                 1.4625,                 1.6267,                 1.8432,              0.0004387,              0.0004387,              0.0004387
                     10,                 1.6702,                 1.4843,                 1.8683,                0.29254,                0.41221,                0.31764,                 0.2002,                 1.3799,                 1.6019,                 1.7548,             0.00029723,             0.00029723,             0.00029723
